,Entity,Code,Year,Meat Production (tonnes)
9933,Russia,RUS,2012,8090317
4577,Germany,DEU,2009,7889327
2403,China,CHN,1967,7796344
2404,China,CHN,1968,7756613
4576,Germany,DEU,2008,7712384
1556,Brazil,BRA,1990,7709088
2406,China,CHN,1970,7655282
2405,China,CHN,1969,7636243
4249,France,FRA,1998,7537151
9932,Russia,RUS,2011,7519463
1555,Brazil,BRA,1989,7510809
4248,France,FRA,1997,7509881
4555,Germany,DEU,1987,7501811
9914,Russia,RUS,1993,7482270
5514,India,IND,2018,7454329
4554,Germany,DEU,1986,7445562
4575,Germany,DEU,2007,7437262
2402,China,CHN,1966,7403135
5513,India,IND,2017,7366235
4247,France,FRA,1996,7332371
4556,Germany,DEU,1988,7329276
1554,Brazil,BRA,1988,7266223
4558,Germany,DEU,1990,7252379
4553,Germany,DEU,1985,7233866
5512,India,IND,2016,7183123
9931,Russia,RUS,2010,7166806
4250,France,FRA,1999,7165851
5511,India,IND,2015,7116682
4552,Germany,DEU,1984,7097474
4557,Germany,DEU,1989,7096001
7524,Mexico,MEX,2018,7051277
11360,Spain,ESP,2018,7028021
4574,Germany,DEU,2006,7023701
4549,Germany,DEU,1981,7021430
4246,France,FRA,1995,6976300
4548,Germany,DEU,1980,6959693
9039,Oceania,,2015,6952170
5510,India,IND,2014,6920043
4551,Germany,DEU,1983,6876682
4573,Germany,DEU,2005,6843746
2401,China,CHN,1965,6832207
7523,Mexico,MEX,2017,6807583
9038,Oceania,,2014,6805782
4547,Germany,DEU,1979,6792608
4550,Germany,DEU,1982,6791300
9915,Russia,RUS,1994,6771928
4245,France,FRA,1994,6767501
4572,Germany,DEU,2004,6763857
5509,India,IND,2013,6740213
9930,Russia,RUS,2009,6719455
9042,Oceania,,2018,6690306
9040,Oceania,,2016,6681020
11359,Spain,ESP,2017,6662298
1553,Brazil,BRA,1987,6648814
4559,Germany,DEU,1991,6629808
4546,Germany,DEU,1978,6599398
4571,Germany,DEU,2003,6563572
4244,France,FRA,1993,6563328
