Year,CO2_China,CO2_USA,CO2_Rusia,CO2_Brazil,CO2_France,CO2_India,CO2_Mexico,CO2_Spain,CO2_Vienam,CO2_Canada
2003,3.524074093,19.56410453,11.0906198,1.769005571,6.115998108,0.989271008,4.270511506,7.611166445,0.957054376,17.47884132
2004,4.037990651,19.65837118,11.12060675,1.835946431,6.120078568,1.021862866,4.2224472,7.908050681,1.090129494,17.32455499
2005,4.523178064,19.59188523,11.25350585,1.865977058,6.099598855,1.06531244,4.399422979,8.097058048,1.170708252,17.41190097
2006,4.980314197,19.09406652,11.66911318,1.847654542,5.906266386,1.118603899,4.455657766,7.88419571,1.214192778,17.56133592
2007,5.082123622,19.21789784,11.67245445,1.910334175,5.76638535,1.189651807,4.401555404,7.920890716,1.227733963,17.38715721
2008,5.701915025,18.46176387,12.01450516,2.018593476,5.690501857,1.306253903,4.451117906,7.165531607,1.368182472,16.89745662
2009,5.677170257,17.15773779,11.02385569,1.893620024,5.438357063,1.427780473,4.232033444,6.216973378,1.476951428,15.82542959
2010,6.560520007,17.4431109,11.69434657,2.144736395,5.428980862,1.393273291,4.069560416,5.816416366,1.622618922,15.5055134
2011,7.241515419,16.91520177,12.33487755,2.224711944,5.077911102,1.468910262,4.187104495,5.788018458,1.712240646,15.22379395
2012,7.424750916,16.19342933,12.62026928,2.358548364,5.075062341,1.590942831,4.232175308,5.660938803,1.588281536,14.91382201
2013,7.557211045,16.36222413,12.12085015,2.505408788,5.062171964,1.585648401,4.126499656,5.084398353,1.622307629,14.7988829
2014,7.543907641,16.41657591,12.07751769,2.631289885,4.573459729,1.723311783,4.000652984,5.033824487,1.824531973,15.25547233
2015,7.398524566,15.98986626,11.78522038,2.466788048,,1.784333765,3.963191128,5.393418949,2.032107552,15.38895031
2016,7.175809897,15.50220398,11.99943207,2.242393446,,1.817783386,3.943827403,5.249157873,2.057565917,15.09005647
