,Year,T_CelsiusMEX,T_FarenheitMEX,dT_Celsius_MEX,dT_Farenheit_MEX,CO2_México,T_CelsiusCAN,T_FarenheitCAN,dT_Celsius_CAN,dT_Farenheit_CAN,CO2_Canada,T_CelsiusUSA,T_FarenheitUSA,dT_Celsius_USA,dT_Farenheit_USA,CO2_USA
1,1960,20.508975,68.916155,,,1.670990141,-6.4908,20.31656,,,10.77084729,10.799999999999999,51.44,,,15.99977916
2,1961,20.491925,68.885465,-0.01705000000000112,-0.03069000000000699,1.675961329,-7.390573333333333,18.696968,-0.8997733333333331,-1.6195920000000008,10.62789765,11.038888888888888,51.87,0.23888888888888893,0.4299999999999997,15.68125552
3,1962,20.838025,69.508445,0.34609999999999985,0.6229799999999983,1.587485025,-6.976666666666667,19.442,0.41390666666666664,0.7450320000000019,11.13062748,11.055555555555555,51.9,0.016666666666667496,0.030000000000001137,16.0139375
4,1963,20.683474999999998,69.230255,-0.1545500000000004,-0.27818999999999505,1.600528397,-6.792631666666668,19.773263,0.18403499999999884,0.33126299999999986,11.1321024,11.255555555555555,52.26,0.1999999999999993,0.35999999999999943,16.48276215
5,1964,20.353383333333333,68.63609,-0.33009166666666445,-0.5941650000000038,1.736658362,-7.679681666666667,18.176572999999998,-0.8870499999999995,-1.5966900000000024,12.3053704,10.927777777777779,51.67,-0.3277777777777757,-0.5899999999999963,16.96811858
6,1965,20.508241666666667,68.91483500000001,0.15485833333333332,0.2787450000000149,1.705355151,-7.597081666666667,18.325253,0.08260000000000023,0.14868000000000237,12.81400147,10.938888888888888,51.69,0.011111111111109295,0.01999999999999602,17.45172525
7,1966,20.114183333333333,68.20553000000001,-0.3940583333333336,-0.7093050000000005,1.777925255,-7.400682499999999,18.678771500000003,0.19639916666666757,0.3535185000000034,12.93491815,10.82777777777778,51.49,-0.11111111111110894,-0.19999999999999574,18.12107301
8,1967,20.413408333333333,68.744135,0.29922499999999985,0.5386049999999898,1.918848664,-7.430855,18.624461,-0.030172500000000824,-0.05431050000000326,13.8103546,10.977777777777778,51.76,0.14999999999999858,0.269999999999996,18.59831788
9,1968,20.04985,68.08973,-0.36355833333333365,-0.654404999999997,1.940637003,-6.868944166666666,19.635900499999998,0.561910833333334,1.011439499999998,14.6326452,10.733333333333334,51.32,-0.24444444444444358,-0.4399999999999977,19.08938916
10,1969,20.691891666666667,69.245405,0.6420416666666675,1.1556750000000022,2.047987318,-6.586138333333333,20.144951,0.28280583333333276,0.5090505000000007,14.61864861,10.833333333333334,51.5,0.09999999999999964,0.17999999999999972,19.85794566
11,1970,20.28495,68.51291,-0.4069416666666683,-0.7324950000000001,2.215287211,-7.206939166666667,19.0275095,-0.6208008333333339,-1.1174414999999982,16.01414875,10.894444444444444,51.61,0.061111111111110006,0.10999999999999943,21.11125227
12,1971,20.414716666666667,68.74649,0.12976666666666858,0.23357999999998924,2.380327514,-7.005590833333334,19.389936499999997,0.20134833333333368,0.3624269999999967,16.05533218,10.92222222222222,51.66,0.02777777777777679,0.04999999999999716,20.98020348
13,1972,20.766883333333332,69.38039,0.3521666666666654,0.6339000000000112,2.422006072,-8.951065833333333,15.888081500000002,-1.9454749999999992,-3.5018549999999955,17.15406592,10.76111111111111,51.37,-0.16111111111111143,-0.28999999999999915,21.74864198
14,1973,20.3597,68.64746,-0.40718333333333234,-0.7329300000000103,2.561821014,-6.346726666666666,20.575892000000003,2.6043391666666666,4.687810500000001,16.96713528,11.272222222222222,52.29,0.5111111111111128,0.9200000000000017,22.51058213
15,1974,20.40425,68.72765000000001,0.04455000000000098,0.08019000000001597,2.674078029,-7.861009166666666,17.8501835,-1.5142825000000002,-2.725708500000003,17.09800561,11.255555555555555,52.26,-0.016666666666667496,-0.030000000000001137,21.50293038
16,1975,20.228625,68.41152500000001,-0.17562500000000014,-0.31612499999999955,2.759233889,-7.1391,19.14962,0.7219091666666664,1.2994364999999988,17.16020892,10.833333333333334,51.5,-0.4222222222222207,-0.759999999999998,20.40222407
17,1976,19.869033333333334,67.76426000000001,-0.35959166666666675,-0.6472650000000044,3.006724694,-6.941474166666667,19.5053465,0.1976258333333334,0.35572650000000294,17.02862407,10.816666666666666,51.47,-0.016666666666667496,-0.030000000000001137,21.15761537
18,1977,20.634633333333333,69.14234,0.7655999999999992,1.378079999999997,3.067406196,-6.0110025,21.1801955,0.9304716666666666,1.6748489999999983,17.20283524,11.416666666666666,52.55,0.5999999999999996,1.0799999999999983,21.53248401
19,1978,20.443466666666666,68.79823999999999,-0.1911666666666676,-0.3441000000000116,3.45220081,-7.4133008333333335,18.6560585,-1.4022983333333334,-2.5241369999999996,17.35562946,10.577777777777778,51.04,-0.8388888888888886,-1.509999999999998,21.97300469
20,1979,20.15449166666667,68.278085,-0.2889749999999971,-0.5201549999999884,3.642771221,-7.281226666666666,18.893792,0.13207416666666738,0.23773350000000093,18.26610116,10.48888888888889,50.88,-0.0888888888888868,-0.1599999999999966,21.78043698
21,1980,20.688933333333335,69.24008,0.534441666666666,0.9619950000000017,3.961751778,-6.491176666666667,20.315882,0.790049999999999,1.4220899999999972,18.07962055,11.32777777777778,52.39,0.8388888888888886,1.509999999999998,20.78648774
22,1981,20.54005,68.97209000000001,-0.14888333333333392,-0.2679899999999975,4.099403604,-4.947253333333333,23.094943999999998,1.5439233333333338,2.7790619999999997,17.32493528,11.733333333333333,53.12,0.4055555555555532,0.7299999999999969,19.76676417
23,1982,20.811583333333335,69.46085,0.27153333333333407,0.488759999999985,4.289944895,-8.0299175,17.5461485,-3.0826641666666665,-5.548795499999997,16.51518883,10.744444444444447,51.34,-0.9888888888888854,-1.779999999999994,18.59049523
