,Year,T_CelsiusUSA,T_FarenheitUSA,dT_Celsius_USA,dT_Farenheit_USA,CO2_USA
1,1960,10.799999999999999,51.44,,,15.99977916
2,1961,11.038888888888888,51.87,0.23888888888888893,0.4299999999999997,15.68125552
3,1962,11.055555555555555,51.9,0.016666666666667496,0.030000000000001137,16.0139375
4,1963,11.255555555555555,52.26,0.1999999999999993,0.35999999999999943,16.48276215
5,1964,10.927777777777779,51.67,-0.3277777777777757,-0.5899999999999963,16.96811858
6,1965,10.938888888888888,51.69,0.011111111111109295,0.01999999999999602,17.45172525
7,1966,10.82777777777778,51.49,-0.11111111111110894,-0.19999999999999574,18.12107301
8,1967,10.977777777777778,51.76,0.14999999999999858,0.269999999999996,18.59831788
9,1968,10.733333333333334,51.32,-0.24444444444444358,-0.4399999999999977,19.08938916
10,1969,10.833333333333334,51.5,0.09999999999999964,0.17999999999999972,19.85794566
11,1970,10.894444444444444,51.61,0.061111111111110006,0.10999999999999943,21.11125227
12,1971,10.92222222222222,51.66,0.02777777777777679,0.04999999999999716,20.98020348
13,1972,10.76111111111111,51.37,-0.16111111111111143,-0.28999999999999915,21.74864198
14,1973,11.272222222222222,52.29,0.5111111111111128,0.9200000000000017,22.51058213
15,1974,11.255555555555555,52.26,-0.016666666666667496,-0.030000000000001137,21.50293038
16,1975,10.833333333333334,51.5,-0.4222222222222207,-0.759999999999998,20.40222407
17,1976,10.816666666666666,51.47,-0.016666666666667496,-0.030000000000001137,21.15761537
18,1977,11.416666666666666,52.55,0.5999999999999996,1.0799999999999983,21.53248401
19,1978,10.577777777777778,51.04,-0.8388888888888886,-1.509999999999998,21.97300469
20,1979,10.48888888888889,50.88,-0.0888888888888868,-0.1599999999999966,21.78043698
21,1980,11.32777777777778,52.39,0.8388888888888886,1.509999999999998,20.78648774
22,1981,11.733333333333333,53.12,0.4055555555555532,0.7299999999999969,19.76676417
23,1982,10.744444444444447,51.34,-0.9888888888888854,-1.779999999999994,18.59049523
24,1983,11.044444444444446,51.88,0.29999999999999893,0.5399999999999991,18.57154371
25,1984,11.094444444444445,51.97,0.049999999999998934,0.0899999999999963,18.97675027
26,1985,10.722222222222221,51.3,-0.37222222222222356,-0.6700000000000017,18.88231274
27,1986,11.844444444444445,53.32,1.1222222222222236,2.020000000000003,18.72072272
28,1987,11.85,53.33,0.005555555555554648,0.00999999999999801,19.35033442
29,1988,11.461111111111114,52.63,-0.38888888888888573,-0.6999999999999957,20.01041341
30,1989,11.022222222222224,51.84,-0.43888888888889,-0.7899999999999991,20.07576978
31,1990,11.95,53.51,0.9277777777777754,1.6699999999999946,19.32275118
32,1991,11.755555555555555,53.16,-0.19444444444444464,-0.3500000000000014,19.05616319
33,1992,11.444444444444446,52.6,-0.31111111111110823,-0.5599999999999952,19.13943728
34,1993,10.7,51.26,-0.7444444444444471,-1.3400000000000034,19.34708291
35,1994,11.594444444444443,52.87,0.8944444444444439,1.6099999999999994,19.36089205
36,1995,11.472222222222221,52.65,-0.12222222222222179,-0.21999999999999886,19.27654526
37,1996,11.044444444444446,51.88,-0.42777777777777537,-0.769999999999996,19.49602474
38,1997,11.222222222222225,52.2,0.17777777777777892,0.3200000000000003,19.69036318
39,1998,12.35,54.23,1.1277777777777747,2.029999999999994,19.5792362
40,1999,12.155555555555557,53.88,-0.19444444444444287,-0.3499999999999943,19.72716951
41,2000,11.816666666666668,53.27,-0.3388888888888886,-0.6099999999999994,20.17875051
42,2001,12.049999999999999,53.69,0.23333333333333073,0.4199999999999946,19.63650507
43,2002,11.783333333333335,53.21,-0.26666666666666394,-0.4799999999999969,19.61340408
44,2003,11.81111111111111,53.26,0.027777777777775015,0.04999999999999716,19.56410453
45,2004,11.722222222222223,53.1,-0.0888888888888868,-0.1599999999999966,19.65837118
46,2005,12.022222222222224,53.64,0.3000000000000007,0.5399999999999991,19.59188523
47,2006,12.361111111111112,54.25,0.3388888888888886,0.6099999999999994,19.09406652
48,2007,12.027777777777777,53.65,-0.3333333333333357,-0.6000000000000014,19.21789784
49,2008,11.272222222222222,52.29,-0.7555555555555546,-1.3599999999999994,18.46176387
50,2009,11.32777777777778,52.39,0.055555555555557135,0.10000000000000142,17.15773779
51,2010,11.655555555555555,52.98,0.3277777777777757,0.5899999999999963,17.4431109
52,2011,11.766666666666667,53.18,0.11111111111111249,0.20000000000000284,16.91520177
53,2012,12.933333333333335,55.28,1.1666666666666679,2.1000000000000014,16.19342933
54,2013,11.35,52.43,-1.5833333333333357,-2.8500000000000014,16.36222413
55,2014,11.411111111111111,52.54,0.06111111111111178,0.10999999999999943,16.41657591
56,2015,12.444444444444445,54.4,1.0333333333333332,1.8599999999999994,15.98986626
57,2016,12.733333333333334,54.92,0.28888888888888964,0.5200000000000031,15.50220398
